New Code,Code,Area,"1998/991,2 ","1999/001,2   ","2000/011,2","2001/021,2",2002/031,2003/041,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,00AA,City of London,0,0,0,0,1,8,14,18,28,33,34,35,39,37,36,39,34,31,29,29,30,29,30,32,30,27
E09000002,00AB,Barking and Dagenham,3,3,4,3,3,5,14,17,21,20,25,33,28,30,27,25,23,19,25,25,24,25,27,31,33,33
E09000003,00AC,Barnet,9,8,8,8,13,16,20,27,29,31,31,33,33,34,33,36,38,37,37,37,35,32,29,30,27,29
E09000004,00AD,Bexley,20,18,17,20,23,21,30,38,40,42,51,51,51,54,54,55,54,52,53,52,54,54,50,43,44,46
E09000005,00AE,Brent,5,6,7,7,8,10,14,20,22,21,28,29,33,37,43,41,35,36,36,37,37,34,33,38,33,28
E09000006,00AF,Bromley,7,13,13,14,15,20,23,27,32,34,36,40,44,50,49,50,48,46,47,50,50,51,45,49,49,51
E09000007,00AG,Camden,11,13,16,12,14,19,25,27,28,27,28,30,32,33,31,29,26,25,27,30,31,26,29,28,28,29
E09000008,00AH,Croydon,14,13,12,12,13,14,13,16,20,23,28,32,34,38,44,42,40,38,39,38,47,49,41,39,37,40
E09000009,00AJ,Ealing,10,12,12,13,15,15,15,19,25,29,35,38,40,41,41,40,40,43,51,49,53,48,49,48,48,50
E09000010,00AK,Enfield,9,9,8,13,14,16,24,27,30,28,27,31,32,35,39,39,39,36,37,36,33,33,33,31,34,33
E09000011,00AL,Greenwich,7,4,5,7,7,12,19,22,24,31,42,35,37,39,40,39,34,35,35,35,33,33,32,32,29,33
E09000012,00AM,Hackney,2,2,1,1,3,6,12,16,20,22,23,24,25,24,24,25,25,25,27,27,28,28,28,29,26,26
E09000013,00AN,Hammersmith and Fulham,8,7,8,8,10,16,20,21,24,27,28,27,28,30,23,21,21,22,23,24,24,26,28,26,26,28
E09000014,00AP,Haringey,5,5,5,5,5,9,14,19,25,26,22,25,28,26,32,36,37,36,36,33,29,30,31,30,27,29
E09000015,00AQ,Harrow,8,10,11,13,12,16,19,27,28,40,43,46,50,48,45,49,45,41,40,41,40,39,36,36,30,32
E09000016,00AR,Havering,9,8,6,9,5,8,16,18,20,24,27,34,31,36,35,32,32,32,37,37,37,38,35,37,37,37
E09000017,00AS,Hillingdon,7,11,13,20,28,34,27,28,31,34,35,41,43,43,43,43,44,44,43,40,37,37,37,38,37,37
E09000018,00AT,Hounslow,14,14,13,16,20,20,17,19,20,22,24,33,35,35,35,35,35,34,30,30,31,32,35,36,36,37
E09000019,00AU,Islington,3,2,5,6,6,7,11,18,24,26,28,29,30,32,31,33,33,29,32,29,29,30,31,30,28,30
E09000020,00AW,Kensington and Chelsea,11,13,8,9,9,15,18,20,24,28,30,31,32,34,26,25,25,26,26,26,27,29,24,23,23,22
E09000021,00AX,Kingston upon Thames,15,18,20,18,18,19,18,24,24,26,35,46,47,47,46,46,46,46,47,48,49,49,48,48,47,44
E09000022,00AY,Lambeth,7,8,9,8,10,12,16,22,23,25,26,27,28,28,23,21,28,29,29,30,30,32,36,35,31,32
E09000023,00AZ,Lewisham,9,4,5,6,7,8,10,12,16,22,21,17,18,17,20,18,17,18,18,22,28,27,28,27,23,27
E09000024,00BA,Merton,9,11,18,15,15,15,20,23,25,27,30,34,36,37,39,39,38,35,36,37,39,42,41,42,43,39
E09000025,00BB,Newham,2,3,3,3,5,2,6,10,14,14,15,19,15,23,21,18,17,15,14,14,17,20,21,25,26,26
E09000026,00BC,Redbridge,7,8,9,10,13,9,16,17,19,22,26,32,28,33,29,29,29,28,27,24,25,25,25,31,31,30
E09000027,00BD,Richmond upon Thames,14,na,15,19,23,24,24,29,32,36,42,43,43,45,46,43,41,41,42,42,43,44,40,41,40,41
E09000028,00BE,Southwark,4,3,3,4,4,7,11,15,18,20,21,22,25,27,30,34,35,35,34,35,35,35,33,36,32,33
E09000029,00BF,Sutton,16,27,25,16,19,25,28,29,30,32,32,38,38,37,37,37,38,35,37,50,49,49,46,44,43,41
E09000030,00BG,Tower Hamlets,3,3,3,3,3,5,7,9,12,13,19,26,25,27,28,28,28,27,28,26,23,22,19,20,18,16
E09000031,00BH,Waltham Forest,6,9,9,8,11,12,18,22,28,30,28,28,27,27,31,33,36,35,34,32,32,32,32,32,33,33
E09000032,00BJ,Wandsworth,8,7,7,8,10,18,17,21,23,25,27,25,27,28,24,20,21,21,22,22,23,24,24,23,22,23
E09000033,00BK,Westminster,10,7,7,9,10,11,15,18,20,23,23,24,25,25,22,21,19,17,17,19,22,20,24,21,25,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,A,North East,4,5,4,5,7,12,15,21,26,28,31,35,36,38,37,38,38,38,36,35,35,36,34,34,31,31
E12000002,B,North West,6,7,8,9,11,14,19,24,29,33,37,38,40,43,44,46,47,47,46,45,45,46,45,46,45,45
E12000003,D,Yorkshire and the Humber,6,7,7,9,11,15,19,22,27,31,34,37,40,42,43,44,44,44,43,42,43,44,42,42,42,41
E12000004,E,East Midlands,9,11,13,14,15,19,26,32,36,42,44,46,46,47,47,46,45,45,46,44,44,44,41,42,41,43
E12000005,F,West Midlands,7,9,9,10,13,16,20,25,29,33,37,40,42,43,44,42,42,42,41,40,40,40,39,38,38,39
E12000006,G,East,12,14,15,17,19,23,30,34,38,41,44,46,49,50,49,49,49,49,49,49,49,49,46,46,45,46
E12000007,H,London,8,9,9,9,11,13,18,21,23,25,29,32,32,34,34,34,33,33,33,33,33,34,33,33,33,33
E12000008,J,South East,13,15,16,18,20,23,26,29,33,36,38,40,41,43,43,44,45,45,46,47,47,48,46,46,45,46
E12000009,K,South West,14,14,15,17,19,21,27,31,37,40,42,43,47,47,47,47,48,48,48,49,50,50,49,49,48,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,921,England,9,10,11,13,15,18,23,27,31,35,38,40,41,43,43,43,44,43,44,43,44,44,42,43,42,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
