Borough,Own Outright,Buying with mortgage
Barking and Dagenham,18.1,29
Barnet,32,30.1
Bexley,39,35.3
Brent,19.8,26.2
Bromley,39.8,38.3
Camden,19.8,14.9
Croydon,26.7,40.2
Ealing,23.8,31.8
Enfield,30.6,30
Greenwich,17.5,30.3
Hackney,15.1,19.7
Hammersmith and Fulham,20,21.8
Haringey,18.7,26.4
Harrow,32.7,29.6
Havering,36.8,35.5
Hillingdon,28,34.1
Hounslow,24.4,26.9
Islington,14.1,16.8
Kensington and Chelsea,22.4,11.3
Kingston upon Thames,29.9,37.1
Lambeth,13.5,25.4
Lewisham,14.8,36.1
Merton,28,37.5
Newham,12.8,17.9
Redbridge,29.2,36.8
Richmond upon Thames,29.8,37.1
Southwark,10.3,23.5
Sutton,28.9,42.8
Tower Hamlets,8.4,16.7
Waltham Forest,17.9,31.3
Wandsworth,24.5,29.1
Westminster,18.6,11.5
Inner London,16.1,21.4
Outer London,28.3,33.6
London,23.3,28.6
